batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
77,1778144810.2917175,decode,243,1949810,0.9992635478747693,1949567,243,809.280461862732,19514,0,243,1949324,1949567,1949567,0.9991390121291667,0,19514,0,0,0,0.0
78,1778144810.3321927,decode,243,1950053,0.999388083620372,1949810,243,809.280461862732,19514,0,243,1949567,1949810,1949810,0.9992635478747693,0,19514,0,0,0,0.0
79,1778144810.3721912,decode,243,1950296,0.9995126193659747,1950053,243,809.280461862732,19514,0,243,1949810,1950053,1950053,0.999388083620372,0,19514,0,0,0,0.0
80,1778144810.4125738,decode,243,1950539,0.9996371551115774,1950296,243,809.280461862732,19514,0,243,1950053,1950296,1950296,0.9995126193659747,0,19514,0,0,0,0.0
81,1778144810.4524925,decode,243,1950782,0.99976169085718,1950539,243,809.280461862732,19514,0,243,1950296,1950539,1950539,0.9996371551115774,0,19514,0,0,0,0.0
82,1778144810.4925635,decode,243,1951025,0.9998862266027827,1950782,243,809.280461862732,19514,0,243,1950539,1950782,1950782,0.99976169085718,0,19514,0,0,0,0.0
83,1778144810.5461671,decode,243,1943260,0.9959067201640797,1951025,242,809.280461862732,19514,0,243,1950782,1951025,1951025,0.9998862266027827,0,19514,0,0,0,0.0
84,1778144810.585586,decode,242,1943502,0.9960307434169021,1943260,242,2881.2857968862913,19514,1,242,1943018,1943260,1943260,0.9959067201640797,1,19515,0,0,0,0.0
85,1778144810.6254737,decode,242,1943744,0.9961547666697246,1943502,242,2881.2857968862913,19514,0,242,1943260,1943502,1943502,0.9960307434169021,1,19515,0,0,0,0.0
86,1778144810.6653645,decode,242,1943986,0.9962787899225469,1943744,242,2881.2857968862913,19514,0,242,1943502,1943744,1943744,0.9961547666697246,1,19515,0,0,0,0.0
87,1778144810.70537,decode,242,1944228,0.9964028131753694,1943986,242,2881.2857968862913,19514,0,242,1943744,1943986,1943986,0.9962787899225469,1,19515,0,0,0,0.0
88,1778144810.7457006,decode,242,1944470,0.9965268364281918,1944228,242,2881.2857968862913,19514,0,242,1943986,1944228,1944228,0.9964028131753694,1,19515,0,0,0,0.0
89,1778144810.7856598,decode,242,1944712,0.9966508596810142,1944470,242,2881.2857968862913,19514,0,242,1944228,1944470,1944470,0.9965268364281918,1,19515,0,0,0,0.0
90,1778144810.826251,decode,242,1944954,0.9967748829338366,1944712,242,2881.2857968862913,19514,0,242,1944470,1944712,1944712,0.9966508596810142,1,19515,0,0,0,0.0
91,1778144810.8663354,decode,242,1945196,0.9968989061866591,1944954,242,2881.2857968862913,19514,0,242,1944712,1944954,1944954,0.9967748829338366,1,19515,0,0,0,0.0
92,1778144810.905899,decode,242,1945438,0.9970229294394816,1945196,242,2881.2857968862913,19514,0,242,1944954,1945196,1945196,0.9968989061866591,1,19515,0,0,0,0.0
93,1778144810.9463131,decode,242,1945680,0.9971469526923039,1945438,242,2881.2857968862913,19514,0,242,1945196,1945438,1945438,0.9970229294394816,1,19515,0,0,0,0.0
94,1778144810.9862876,decode,242,1945922,0.9972709759451264,1945680,242,2881.2857968862913,19514,0,242,1945438,1945680,1945680,0.9971469526923039,1,19515,0,0,0,0.0
95,1778144811.0263455,decode,242,1946164,0.9973949991979488,1945922,242,2881.2857968862913,19514,0,242,1945680,1945922,1945922,0.9972709759451264,1,19515,0,0,0,0.0
