request_id,req_type,prefill_tokens,decode_tokens,target_arrival,actual_send_offset,send_delay,send_time_epoch,recv_time_epoch,client_latency,server_prompt_tokens,server_completion_tokens,server_e2e_latency
1872,long,5000,1000,0.18888780170561853,0.41230010986328125,0.22341230815766272,1771519809.8158913,1771519938.0575407,128.24164938926697,5000,1000,122.11435270309448
1873,short,5000,1211,0.1889051417756169,0.412459135055542,0.2235539932799251,1771519809.8160503,1771519957.2317855,147.41573524475098,5000,1211,140.7847294807434
1874,long,5000,1000,0.18893305151934892,0.4126119613647461,0.22367890984539718,1771519809.816203,1771519943.889064,134.07286095619202,5000,1000,126.90968012809753
1875,short,5000,1211,0.18903441373295496,0.41275572776794434,0.22372131403498938,1771519809.816347,1771519961.8135579,151.99721097946167,5000,1211,144.32997369766235
1876,short,5000,1211,0.1892523469175735,0.4128999710083008,0.22364762409072728,1771519809.8164911,1771519965.2163804,155.39988923072815,5000,1211,147.23581218719482
1877,long,5000,1000,0.18956741886326087,0.41304445266723633,0.22347703380397546,1771519809.8166356,1771519955.6968632,145.88022756576538,5000,1000,137.0997335910797
1878,long,5000,1000,0.1896591732915188,0.413196325302124,0.22353715201060523,1771519809.8167875,1771519959.8194983,150.00271081924438,5000,1000,140.45164442062378
1879,long,5000,1000,0.18973835496037947,0.41334104537963867,0.2236026904192592,1771519809.8169322,1771519961.5994432,151.78251099586487,5000,1000,141.4704077243805
1880,long,5000,1000,0.18977059728204648,0.41349291801452637,0.22372232073247988,1771519809.817084,1771520024.8637786,215.04669451713562,5000,1000,203.9891107082367
1881,short,5000,1211,0.18980473124707609,0.41364431381225586,0.22383958256517977,1771519809.8172355,1771520052.0113757,242.19414019584656,5000,1211,230.3776741027832
1882,long,5000,1000,0.18984353991931627,0.4137859344482422,0.22394239452892592,1771519809.817377,1771520036.4677775,226.65040040016174,5000,1000,214.23890781402588
1883,short,5000,1211,0.1900685123013271,0.4145658016204834,0.2244972893191563,1771519809.818157,1771520058.9241917,249.1060347557068,5000,1211,236.10337114334106
1884,short,5000,1211,0.1901169114239759,0.4147319793701172,0.22461506794614128,1771519809.8183231,1771520060.8174396,250.99911642074585,5000,1211,237.40207648277283
1885,short,5000,1211,0.19012324735974076,0.41487693786621094,0.22475369050647018,1771519809.818468,1771520067.6733541,257.8548860549927,5000,1211,243.72186708450317
1886,short,5000,1211,0.19018408122014188,0.4150257110595703,0.22484162983942843,1771519809.8186169,1771519970.0621312,160.2435142993927,5000,1211,151.74410200119019
