,Time (sec),throughput
385,6.271744592643041,6751
386,6.289427061401483,6783
387,6.3071095301599245,6815
388,6.324791998918366,6847
389,6.342474467676808,6879
390,6.374127083186782,6913
391,6.406079504563422,6947
392,6.438435435273396,6981
393,6.479725018267735,7016
394,6.506023463968168,7051
395,6.532808875001934,7086
396,6.559894906226177,7121
397,6.5785202748103035,7156
398,6.59714564339443,7191
399,6.615771011978557,7226
400,6.634396380562684,7261
401,6.653021749146811,7296
402,6.671647117730938,7331
403,6.690272486315065,7366
404,6.708897854899192,7401
405,6.727523223483319,7436
406,6.7461485920674455,7471
407,6.764773960651572,7506
408,6.783399329235699,7541
409,6.802024697819826,7576
410,6.820650066403953,7611
411,6.83927543498808,7646
412,6.857900803572207,7681
413,6.876526172156334,7716
414,6.895151540740461,7751
415,6.9137769093245875,7786
416,6.932402277908714,7821
417,6.951027646492841,7856
418,6.969653015076968,7891
419,6.988278383661095,7926
420,7.006903752245222,7961
421,7.025529120829349,7996
422,7.044154489413476,8031
423,7.062779857997603,8066
424,7.0814052265817296,8101
425,7.100030595165856,8136
426,7.118655963749983,8171
427,7.13728133233411,8206
428,7.163649723634543,8242
429,7.190145161334976,8278
430,7.217127564368742,8314
431,7.244410587592984,8350
432,7.271014626893417,8387
433,7.2977457125938505,8424
434,7.324963763627617,8461
435,7.352482434851859,8498
436,7.379308298152291,8536
437,7.406261207852724,8574
438,7.433701082886491,8612
439,7.461441578110733,8650
440,7.48060518669486,8688
441,7.499768795278987,8726
442,7.518932403863114,8764
443,7.545839035163547,8803
444,7.57287271286398,8842
445,7.6003933558977455,8881
446,7.633776610085486,8921
447,7.661010735785919,8961
448,7.694407086506994,9002
449,7.728206946561401,9043
450,7.756188645595167,9084
451,7.78447096481941,9125
452,7.804327966317823,9166
453,7.824184967816236,9207
454,7.844041969314649,9248
455,7.863898970813062,9289
456,7.883755972311475,9330
457,7.903612973809888,9371
458,7.923469975308301,9412
459,7.943326976806714,9453
460,7.963183978305127,9494
461,7.9830409798035395,9535
462,8.002897981301953,9576
463,8.022754982800365,9617
464,8.042611984298777,9658
465,8.062468985797189,9699
466,8.0823259872956,9740
467,8.102182988794013,9781
468,8.122039990292425,9822
469,8.141896991790837,9863
470,8.161753993289249,9904
471,8.181610994787661,9945
472,8.201467996286073,9986
473,8.221324997784485,10027
474,8.241181999282897,10068
475,8.268526995434124,10110
476,8.29599903798535,10152
477,8.330023529925471,10195
478,8.364451531198926,10238
479,8.392553259083485,10281
480,8.42095560715852,10324
481,8.441193536656932,10367
482,8.461431466155345,10410
483,8.481669395653757,10453
484,8.515775009727212,10498
485,8.550180429667334,10543
486,8.584989358940788,10588
487,8.620151869014244,10633
488,8.640667046512656,10678
489,8.661182224011068,10723
490,8.68169740150948,10768
491,8.702212579007892,10813
492,8.722727756506304,10858
493,8.75073092865753,10904
494,8.778861147208756,10950
495,8.807478331093316,10996
496,8.836396135168352,11042
497,8.857178320666764,11088
498,8.877960506165175,11134
499,8.906230686316402,11181
500,8.934627912867628,11228
501,8.963512104752187,11275
502,8.992696916827223,11322
503,9.021132600978449,11370
504,9.049695331529675,11418
505,9.078745027414234,11466
506,9.10809534348927,11514
507,9.129337816987682,11562
508,9.150580290486095,11610
509,9.171822763984508,11658
510,9.200553232135734,11707
511,9.22941074668696,11756
512,9.258755226571521,11805
513,9.288400326646558,11854
514,9.309811030011637,11903
515,9.331221733376717,11952
516,9.352632436741796,12001
517,9.374043140106876,12050
518,9.395453843471955,12099
519,9.416864546837035,12148
520,9.438275250202114,12197
521,9.459685953567194,12246
522,9.481096656932273,12295
523,9.502507360297352,12344
524,9.523918063662432,12393
525,9.545328767027511,12442
526,9.56673947039259,12491
527,9.58815017375767,12540
528,9.60956087712275,12589
529,9.630971580487829,12638
530,9.652382283852909,12687
531,9.673792987217988,12736
532,9.702172375145262,12786
533,9.731249305472534,12836
