,Request Id,prefill_e2e_time,cdf
247,247,17.224699924599022,0.119
248,248,17.247934653247583,0.1195
237,237,17.28163191210536,0.12
244,244,17.30611954861042,0.1205
245,245,17.31211813972785,0.121
249,249,17.35081386443906,0.1215
239,239,17.356218141344222,0.122
250,250,17.401611385513235,0.1225
246,246,17.440879702899963,0.123
243,243,17.469834042403228,0.1235
236,236,17.52494472264712,0.124
242,242,17.67875184805891,0.1245
259,259,17.758219316666803,0.125
257,257,17.77213010115286,0.1255
258,258,17.88748613573071,0.126
255,255,17.990608195717428,0.1265
253,253,18.01554369007649,0.127
254,254,18.03418332693569,0.1275
252,252,18.102140354693887,0.128
256,256,18.155055729034146,0.1285
251,251,18.222750001685448,0.129
241,241,18.377888495442953,0.1295
240,240,18.660940206506794,0.13
260,260,21.05055212906028,0.1305
268,268,21.729547516879975,0.131
269,269,21.76204541830623,0.1315
262,262,21.79809084440562,0.132
267,267,21.826471449882888,0.1325
261,261,22.08316408863989,0.133
265,265,22.115386780884847,0.1335
266,266,22.121932269495332,0.134
263,263,22.23997161406494,0.1345
264,264,22.25629579436371,0.135
273,273,23.03078496565277,0.1355
272,272,23.089211418765757,0.136
274,274,23.130274825232917,0.1365
270,270,23.17498491630512,0.137
271,271,23.30418778873637,0.1375
382,382,29.46513358571444,0.138
381,381,29.776012447178317,0.1385
380,380,29.78058221845791,0.139
383,383,29.879209899816388,0.1395
379,379,29.897317765523596,0.14
378,378,29.94591358525078,0.1405
377,377,29.95109045705992,0.141
376,376,30.15529863410903,0.1415
375,375,30.272246614225665,0.142
374,374,31.021685828051247,0.1425
373,373,31.052421794182138,0.143
372,372,31.12399119141766,0.1435
406,406,31.24406468382351,0.144
405,405,31.38110617825626,0.1445
404,404,31.415863567992872,0.145
403,403,31.48451167875139,0.1455
401,401,31.502759124904017,0.146
402,402,31.526214149938056,0.1465
371,371,31.786105173500275,0.147
370,370,32.01813566747579,0.1475
367,367,32.31048615206633,0.148
369,369,32.37687722609826,0.1485
368,368,32.414562164808615,0.149
365,365,32.484939111950396,0.1495
366,366,32.49861754233886,0.15
364,364,32.62009223334768,0.1505
363,363,32.909234763497395,0.151
362,362,32.92399946278928,0.1515
400,400,33.078290038050625,0.152
399,399,33.103163711283145,0.1525
398,398,33.40527240647006,0.153
397,397,33.92394223561243,0.1535
396,396,34.2027376399612,0.154
395,395,34.63778242887744,0.1545
361,361,34.73465669966839,0.155
393,393,34.7436665052487,0.1555
392,392,34.74983402458035,0.156
394,394,34.75147841762394,0.1565
360,360,34.88488525024822,0.157
391,391,35.07187332484121,0.1575
390,390,35.18595027357047,0.158
388,388,35.19753713659192,0.1585
389,389,35.29468055158944,0.159
356,356,35.55235267259924,0.1595
359,359,35.57384812287896,0.16
358,358,35.58176645510132,0.1605
357,357,35.659382409303504,0.161
355,355,35.66175081772802,0.1615
386,386,35.704732973837906,0.162
387,387,35.74401768310885,0.1625
385,385,35.77614322239572,0.163
384,384,35.780716315199996,0.1635
353,353,35.803920071623054,0.164
350,350,35.86895086033444,0.1645
354,354,35.898717060620115,0.165
352,352,35.95032714579597,0.1655
351,351,35.97842414740059,0.166
349,349,36.40011863492957,0.1665
348,348,36.53061802078962,0.167
347,347,37.07625599131558,0.1675
346,346,37.25505751288658,0.168
345,345,37.832895808393175,0.1685
344,344,37.851559759974904,0.169
338,338,37.98725401070426,0.1695
339,339,38.05924957597141,0.17
340,340,38.08224341099468,0.1705
343,343,38.09197327637409,0.171
342,342,38.111914915485414,0.1715
341,341,38.12896875899304,0.172
337,337,38.656490806700575,0.1725
335,335,38.779751977469544,0.173
336,336,38.82404755538471,0.1735
334,334,39.20362273628662,0.174
328,328,39.27027211064369,0.1745
332,332,39.28201123187141,0.175
333,333,39.28570704014059,0.1755
330,330,39.34272887227175,0.176
329,329,39.36563057440826,0.1765
331,331,39.37879364204379,0.177
315,315,39.43294550877518,0.1775
