,Request Id,prefill_time_execution_plus_preemption,cdf
1059,1059,0.11153680423200285,0.1555
1985,1985,0.111565561565385,0.156
1292,1292,0.11157413756529877,0.1565
453,453,0.11161891623203246,0.157
451,451,0.11163917223203157,0.1575
1409,1409,0.11164056956533841,0.158
1879,1879,0.11164056956533841,0.1585
1724,1724,0.11167024423195926,0.159
1028,1028,0.11167126823204399,0.1595
1986,1986,0.11167704956540092,0.16
535,535,0.11171742716538802,0.1605
1394,1394,0.11174347089877301,0.161
1998,1998,0.11176131623199126,0.1615
1625,1625,0.11179597223201654,0.162
410,410,0.11181975828915824,0.1625
1989,1989,0.1118478122319857,0.163
1648,1648,0.11185430823195475,0.1635
707,707,0.11186640423198924,0.164
1060,1060,0.11186640423198924,0.1645
1147,1147,0.11186970023203457,0.165
1742,1742,0.11189382823204141,0.1655
1371,1371,0.11189859623198117,0.166
1290,1290,0.11190780156528035,0.1665
1647,1647,0.11192278823205015,0.167
1750,1750,0.11193558823208605,0.1675
1747,1747,0.11193751889868508,0.168
1157,1157,0.11194381223208438,0.1685
1159,1159,0.11202339623201851,0.169
1295,1295,0.11203843623206922,0.1695
1512,1512,0.1120642495653783,0.17
1030,1030,0.1120858708986816,0.1705
1407,1407,0.11209687889868292,0.171
1877,1877,0.11209687889868292,0.1715
705,705,0.11211106556538653,0.172
1058,1058,0.11212122023204074,0.1725
1649,1649,0.11214870823198453,0.173
1145,1145,0.11218403623206541,0.1735
1511,1511,0.1121954495653199,0.174
1404,1404,0.11221272956538542,0.1745
1984,1984,0.11224215889876632,0.175
110,110,0.11225638164848206,0.1755
1412,1412,0.1123025002320901,0.176
1882,1882,0.1123025002320901,0.1765
810,810,0.11231999356533606,0.177
1987,1987,0.11232278823206343,0.1775
572,572,0.11235724156537685,0.178
1997,1997,0.11237653756529653,0.1785
1296,1296,0.11240758823203123,0.179
1397,1397,0.11241520423197926,0.1795
573,573,0.11244440956537005,0.18
1150,1150,0.11245181223205236,0.1805
1966,1966,0.11246474023198516,0.181
1717,1717,0.11250314023197916,0.1815
1716,1716,0.11250685223194523,0.182
804,804,0.11259549223206022,0.1825
1294,1294,0.11260104956534178,0.183
1979,1979,0.11261306023209272,0.1835
111,111,0.11264255764848485,0.184
1866,1866,0.11266277756533327,0.1845
1400,1400,0.11268566823207493,0.185
1062,1062,0.11268848423202371,0.1855
811,811,0.11269644156533332,0.186
456,456,0.11270015356535623,0.1865
1873,1873,0.11272508156537242,0.187
1286,1286,0.11276808956540663,0.1875
785,785,0.112785380232026,0.188
1720,1720,0.11281082023208455,0.1885
1026,1026,0.11281765756535833,0.189
1413,1413,0.11284214823206185,0.1895
1883,1883,0.11284214823206185,0.19
710,710,0.11285667623201334,0.1905
1063,1063,0.11285667623201334,0.191
1718,1718,0.11285680423202393,0.1915
1411,1411,0.11287816956541974,0.192
1881,1881,0.11287816956541974,0.1925
534,534,0.11289147364158225,0.193
927,927,0.11290403623200973,0.1935
1870,1870,0.11290403623206657,0.194
1144,1144,0.11290493223202702,0.1945
1651,1651,0.11290840956530701,0.195
809,809,0.11293630289867451,0.1955
1364,1364,0.1129498602321064,0.196
786,786,0.11295062823199942,0.1965
1363,1363,0.11295357223207247,0.197
1865,1865,0.11295576956536024,0.1975
414,414,0.11296863905107557,0.198
571,571,0.1129735508987153,0.1985
672,672,0.11298315089874222,0.199
1753,1753,0.11303363623210316,0.1995
1399,1399,0.11306240423209601,0.2
1652,1652,0.11312204156536154,0.2005
538,538,0.11312800423203839,0.201
457,457,0.11313740156535346,0.2015
1162,1162,0.1131411135654048,0.202
1867,1867,0.11314390823201848,0.2025
709,709,0.11315238823203799,0.203
1622,1622,0.11315813756539228,0.2035
1367,1367,0.11318299089873562,0.204
928,928,0.1132050922320218,0.2045
1401,1401,0.11320509223207864,0.205
1871,1871,0.11323171623200778,0.2055
455,455,0.11332350289868032,0.206
112,112,0.11336729364848352,0.2065
711,711,0.11338058023198982,0.207
1621,1621,0.11341388156540688,0.2075
1752,1752,0.11344256423205934,0.208
450,450,0.11346157223204045,0.2085
784,784,0.11348173223206004,0.209
533,533,0.11350803318441649,0.2095
119,119,0.11353958164848521,0.21
120,120,0.11353958164848521,0.2105
122,122,0.11353958164848521,0.211
1629,1629,0.11357008423203752,0.2115
1969,1969,0.11358496423201814,0.212
1513,1513,0.11358704423207655,0.2125
1754,1754,0.11361386023202158,0.213
1163,1163,0.11363916156540199,0.2135
931,931,0.11364287356536806,0.214
1298,1298,0.11365629223200813,0.2145
926,926,0.11366093223199414,0.215
1869,1869,0.11366093223205098,0.2155
113,113,0.11366758164848534,0.216
121,121,0.11366758164848534,0.2165
669,669,0.11367126823205354,0.217
668,668,0.11367498023207645,0.2175
1161,1161,0.11370366289872891,0.218
1279,1279,0.11375231356544191,0.2185
1299,1299,0.11377226023205367,0.219
1156,1156,0.1138771882320384,0.2195
81,81,0.11387750823203646,0.22
815,815,0.11388504956539691,0.2205
1960,1960,0.11390540156537554,0.221
1961,1961,0.11393381756533927,0.2215
577,577,0.11395056423202732,0.222
1516,1516,0.113950564232141,0.2225
932,932,0.11396133756534255,0.223
1365,1365,0.11396426023213735,0.2235
1283,1283,0.11399357223206152,0.224
814,814,0.11400229756537783,0.2245
1278,1278,0.11400229756543467,0.225
1280,1280,0.11401085223212704,0.2255
574,574,0.11402800423203985,0.226
714,714,0.11409228156537665,0.2265
1284,1284,0.11409866023211634,0.227
924,924,0.11410070823200158,0.2275
129,129,0.1141332380386686,0.228
123,123,0.11413323803867215,0.2285
787,787,0.1141339882320267,0.229
578,578,0.1141435882320252,0.2295
1517,1517,0.11414358823208204,0.23
930,930,0.11414462289872063,0.2305
460,460,0.11417804156536704,0.231
1416,1416,0.1141876202319736,0.2315
1886,1886,0.1141876202319736,0.232
576,576,0.11420054823202008,0.2325
124,124,0.11422079003867225,0.233
126,126,0.11422079003867225,0.2335
1620,1620,0.11422846289872268,0.234
461,461,0.11423192956536354,0.2345
713,713,0.11423935356538095,0.235
1066,1066,0.11423935356538095,0.2355
1022,1022,0.11425996156538076,0.236
1064,1064,0.11426467623203962,0.2365
1962,1962,0.1142801642320137,0.237
1623,1623,0.11430077223201351,0.2375
667,667,0.11437133223205365,0.238
532,532,0.11438330785108519,0.2385
1515,1515,0.11438528423207117,0.239
1757,1757,0.11440549756537166,0.2395
1510,1510,0.11441623889868424,0.24
1655,1655,0.1144529855653218,0.2405
1138,1138,0.11448086823202175,0.241
407,407,0.114492388232037,0.2415
1166,1166,0.11452492156536209,0.242
1415,1415,0.11452915623203808,0.2425
1885,1885,0.11452915623203808,0.243
1067,1067,0.11453144956533379,0.2435
1167,1167,0.11453349756538955,0.244
1021,1021,0.11455295356535089,0.2445
1507,1507,0.11457827623200956,0.245
1504,1504,0.11459555623207507,0.2455
125,125,0.11463371803867517,0.246
1139,1139,0.11464022823201958,0.2465
1143,1143,0.11464394023198565,0.247
1508,1508,0.11465674023202155,0.2475
813,813,0.11468363089869626,0.248
670,670,0.11468566823202764,0.2485
1282,1282,0.11470746023201173,0.249
1302,1302,0.11473458556531568,0.2495
1065,1065,0.11476170023206578,0.25
83,83,0.11476710823203717,0.2505
947,947,0.11478640423206343,0.251
1656,1656,0.11479717756526497,0.2515
1403,1403,0.11488638289870323,0.252
936,936,0.11492236156539093,0.2525
409,409,0.11496440926060814,0.253
1758,1758,0.11497266556534669,0.2535
1023,1023,0.11499901223203324,0.254
935,935,0.11501362556538197,0.2545
1965,1965,0.11501414823203504,0.255
923,923,0.11502156156535648,0.2555
1756,1756,0.11506212689869244,0.256
1654,1654,0.11512343889864951,0.2565
132,132,0.1151485340386742,0.257
1419,1419,0.115164153565388,0.2575
1889,1889,0.115164153565388,0.258
1142,1142,0.11517722023199894,0.2585
1165,1165,0.11518155089868287,0.259
1303,1303,0.1152267455653373,0.2595
919,919,0.11527359356534816,0.26
1862,1862,0.11527359356534816,0.2605
918,918,0.11527730556537108,0.261
1861,1861,0.11527730556542792,0.2615
922,922,0.11531455356538345,0.262
1618,1618,0.11531734823199713,0.2625
819,819,0.11533106556538542,0.263
1506,1506,0.11533517223199397,0.2635
1858,1858,0.11534128423204493,0.264
581,581,0.11535075623203284,0.2645
1520,1520,0.11535075623203284,0.265
816,816,0.1153745642320132,0.2655
818,818,0.11540248956538335,0.266
717,717,0.11544938023200757,0.2665
1070,1070,0.11544938023200757,0.267
1301,1301,0.11547236689864349,0.2675
781,781,0.11549565223202762,0.268
780,780,0.11549936423205054,0.2685
934,934,0.11552843089873477,0.269
465,465,0.11555173756536874,0.2695
1420,1420,0.11555314556539997,0.27
1890,1890,0.11555314556539997,0.2705
1020,1020,0.11555646289866672,0.271
1025,1025,0.11555646289866672,0.2715
1658,1658,0.11559410556537841,0.272
1659,1659,0.11560255356539528,0.2725
464,464,0.11562405756535554,0.273
1140,1140,0.11565462823205053,0.2735
1521,1521,0.11567741223200301,0.274
582,582,0.11567741223203143,0.2745
1519,1519,0.11571878823201587,0.275
580,580,0.11571878823204429,0.2755
1761,1761,0.1157253055654337,0.276
1418,1418,0.11573809489868836,0.2765
1888,1888,0.11573809489868836,0.277
718,718,0.11576810023206008,0.2775
1071,1071,0.11576810023206008,0.278
833,833,0.11577612156537498,0.2785
950,950,0.11577612156537498,0.279
398,398,0.11580870529422782,0.2795
1170,1170,0.11584472956536729,0.28
462,462,0.11586326823203308,0.2805
406,406,0.11588644651325808,0.281
382,382,0.1158864465132865,0.2815
383,383,0.1158864465132865,0.282
716,716,0.11596271356535226,0.2825
1069,1069,0.11596271356535226,0.283
1171,1171,0.11606693756533559,0.2835
1762,1762,0.11606693756539244,0.284
939,939,0.11610789756531403,0.2845
1306,1306,0.11616317223206352,0.285
834,834,0.11617394556537874,0.2855
951,951,0.11617394556537874,0.286
1275,1275,0.11622501756539805,0.2865
779,779,0.11625626023203495,0.287
1860,1860,0.1162808148988006,0.2875
1503,1503,0.11630284156535708,0.288
1955,1955,0.1163121855653344,0.2885
115,115,0.11632602737935116,0.289
1073,1073,0.11633317756536599,0.2895
1956,1956,0.11636440956533534,0.29
1274,1274,0.11636671356541228,0.2905
1612,1612,0.11638015356538745,0.291
1423,1423,0.11638499623211374,0.2915
1893,1893,0.11638499623211374,0.292
823,823,0.1163969215654106,0.2925
480,480,0.11639709223203454,0.293
1524,1524,0.11639882023200698,0.2935
585,585,0.1163988202320354,0.294
664,664,0.1163994602320031,0.2945
1137,1137,0.11640205223204703,0.295
663,663,0.11640317223202601,0.2955
940,940,0.11640959356532221,0.296
1616,1616,0.11641740156539981,0.2965
720,720,0.11643672956535056,0.297
837,837,0.11643711356532549,0.2975
954,954,0.11643711356532549,0.298
822,822,0.1164505535653575,0.2985
1617,1617,0.11645413756536982,0.299
1422,1422,0.11645616423209049,0.2995
1892,1892,0.11645616423209049,0.3
1271,1271,0.11647704956533289,0.3005
832,832,0.11647819089870382,0.301
949,949,0.11647819089870382,0.3015
459,459,0.1164815722320327,0.302
1662,1662,0.11649667623203186,0.3025
1760,1760,0.11650814289873779,0.303
86,86,0.1165214762320339,0.3035
721,721,0.11660044156536742,0.304
1074,1074,0.11660044156536742,0.3045
1305,1305,0.1166007082319993,0.305
1864,1864,0.11661443623211198,0.3055
1169,1169,0.11662756689872822,0.306
836,836,0.11664140156534586,0.3065
953,953,0.11664140156534586,0.307
1613,1613,0.11670616956541835,0.3075
1309,1309,0.1167725162321176,0.308
1663,1663,0.11678979623206942,0.3085
662,662,0.11680525223204086,0.309
584,584,0.1168130602320332,0.3095
1523,1523,0.11681306023206162,0.31
1525,1525,0.11684259623200433,0.3105
586,586,0.11684259623203275,0.311
938,938,0.11684823889868312,0.3115
1964,1964,0.1168485802320447,0.312
468,468,0.11687704956534617,0.3125
469,469,0.11690764156534783,0.313
482,482,0.11691724156537475,0.3135
381,381,0.1169501057031681,0.314
946,946,0.11699926823206397,0.3145
783,783,0.11702483623207627,0.315
1957,1957,0.11705597223203767,0.3155
1017,1017,0.11709311356537455,0.316
1661,1661,0.1171317375652734,0.3165
1857,1857,0.11714902823212014,0.317
1611,1611,0.11720474023195493,0.3175
1133,1133,0.11722480423208026,0.318
1765,1765,0.11724304423205467,0.3185
1174,1174,0.11726834556537824,0.319
1426,1426,0.11727018023202618,0.3195
1896,1896,0.11727018023202618,0.32
1310,1310,0.11728746023209169,0.3205
1954,1954,0.11731569489870708,0.321
1273,1273,0.11737022289878496,0.3215
483,483,0.11737394556536174,0.322
1016,1016,0.11738610556534468,0.3225
1134,1134,0.117412836232063,0.323
665,665,0.11741386023203404,0.3235
723,723,0.11741490556534018,0.324
1076,1076,0.11741490556534018,0.3245
1077,1077,0.11741759356539205,0.325
1959,1959,0.11742736423207134,0.3255
1018,1018,0.11743946023204899,0.326
91,91,0.11745229223203424,0.3265
1276,1276,0.11751894823203202,0.327
1308,1308,0.11752548689878495,0.3275
1764,1764,0.11757205756543954,0.328
90,90,0.11760051623203438,0.3285
724,724,0.1176047295653575,0.329
1425,1425,0.11761224956535443,0.3295
1895,1895,0.11761224956535443,0.33
943,943,0.11767743356534766,0.3305
1175,1175,0.11775589756535965,0.331
1766,1766,0.11775722023207891,0.3315
1173,1173,0.11776113489872841,0.332
589,589,0.1177745855653427,0.3325
1132,1132,0.11778995623205901,0.333
921,921,0.11779382823203832,0.3335
1665,1665,0.1177941695653999,0.334
588,588,0.11779685756536651,0.3345
1527,1527,0.11779685756539493,0.335
486,486,0.11784280956536008,0.3355
1779,1779,0.11784598823203396,0.336
1528,1528,0.11796172156539342,0.3365
1312,1312,0.11800984956539651,0.337
840,840,0.11806166823203057,0.3375
957,957,0.11806166823203057,0.338
1666,1666,0.1180724415653458,0.3385
942,942,0.11808277756534835,0.339
485,485,0.11811340156535266,0.3395
826,826,0.11813528956537311,0.34
1270,1270,0.11815372156536341,0.3405
917,917,0.11816702289871728,0.341
1429,1429,0.11820351356527681,0.3415
1899,1899,0.11820351356527681,0.342
944,944,0.11821375356532826,0.3425
1313,1313,0.11828197756540249,0.343
956,956,0.11829245223202633,0.3435
479,479,0.11832246823203718,0.344
1136,1136,0.11837747623201267,0.3445
1015,1015,0.11838961489871735,0.345
778,778,0.1184121002320353,0.3455
1135,1135,0.11848778023204432,0.346
1499,1499,0.11852069756537276,0.3465
109,109,0.11852281061744563,0.347
1498,1498,0.11852440956533883,0.3475
776,776,0.11854244476535314,0.348
1776,1776,0.11855000956529693,0.3485
1502,1502,0.1185616575653512,0.349
472,472,0.11857458556536926,0.3495
821,821,0.11858717223202575,0.35
839,839,0.11859272956536415,0.3505
1782,1782,0.11860406823211633,0.351
1668,1668,0.11864524156533207,0.3515
827,827,0.11865304956535283,0.352
661,661,0.11866682023202202,0.3525
825,825,0.11868094289872033,0.353
1768,1768,0.11869400956538811,0.3535
727,727,0.11869706023202298,0.354
1080,1080,0.11869706023202298,0.3545
1079,1079,0.11871766823202279,0.355
1430,1430,0.11873445756532419,0.3555
1900,1900,0.11873445756532419,0.356
1769,1769,0.11875314556539251,0.3565
1853,1853,0.11879397756536036,0.357
1923,1923,0.11886474023197025,0.3575
492,492,0.11886717223205778,0.358
969,969,0.11886717223205778,0.3585
1444,1444,0.11886717223205778,0.359
1914,1914,0.11886717223205778,0.3595
1615,1615,0.11889667623199784,0.36
467,467,0.11892982823201237,0.3605
1349,1349,0.11894077223200838,0.361
1470,1470,0.11894077223200838,0.3615
1683,1683,0.11894077223200838,0.362
1693,1693,0.11894077223200838,0.3625
1700,1700,0.11894077223200838,0.363
1929,1929,0.11894077223200838,0.3635
1938,1938,0.11894077223200838,0.364
630,630,0.1189407722320368,0.3645
852,852,0.11894077223206523,0.365
860,860,0.11894077223206523,0.3655
865,865,0.11894077223206523,0.366
883,883,0.11894077223206523,0.3665
977,977,0.11894077223206523,0.367
982,982,0.11894077223206523,0.3675
998,998,0.11894077223206523,0.368
1097,1097,0.11894077223206523,0.3685
1116,1116,0.11894077223206523,0.369
1315,1315,0.11895461756535042,0.3695
489,489,0.11897238823203793,0.37
1178,1178,0.11899440423206897,0.3705
1428,1428,0.1189974868985928,0.371
1898,1898,0.1189974868985928,0.3715
488,488,0.11899862823202056,0.372
473,473,0.1190051775653842,0.3725
843,843,0.11900643623204132,0.373
960,960,0.11900643623204132,0.3735
1669,1669,0.11901720956529971,0.374
726,726,0.1190179455653606,0.3745
1781,1781,0.1190179455653606,0.375
1342,1342,0.1190349162319535,0.3755
1351,1351,0.1190349162319535,0.376
1680,1680,0.1190349162319535,0.3765
1702,1702,0.1190349162319535,0.377
1804,1804,0.1190349162319535,0.3775
1924,1924,0.1190349162319535,0.378
1942,1942,0.1190349162319535,0.3785
508,508,0.11903491623203877,0.379
513,513,0.11903491623203877,0.3795
744,744,0.11903491623206719,0.38
749,749,0.11903491623206719,0.3805
754,754,0.11903491623206719,0.381
1109,1109,0.11903491623206719,0.3815
914,914,0.11903523623203682,0.382
911,911,0.11905251623204549,0.3825
1854,1854,0.11905251623204549,0.383
1852,1852,0.11908696956538734,0.3835
1013,1013,0.119089576498709,0.384
915,915,0.11911370023204881,0.3845
503,503,0.11912790823203068,0.385
520,520,0.11912790823203068,0.3855
733,733,0.11912790823203068,0.386
736,736,0.11912790823203068,0.3865
761,761,0.11912790823203068,0.387
849,849,0.11912790823203068,0.3875
872,872,0.11912790823203068,0.388
966,966,0.11912790823203068,0.3885
989,989,0.11912790823203068,0.389
1000,1000,0.11912790823203068,0.3895
1083,1083,0.11912790823203068,0.39
1086,1086,0.11912790823203068,0.3905
1102,1102,0.11912790823203068,0.391
1118,1118,0.11912790823203068,0.3915
1327,1327,0.11912790823203068,0.392
1441,1441,0.11912790823203068,0.3925
1449,1449,0.11912790823203068,0.393
1454,1454,0.11912790823203068,0.3935
1461,1461,0.11912790823203068,0.394
1472,1472,0.11912790823203068,0.3945
1474,1474,0.11912790823203068,0.395
1688,1688,0.11912790823203068,0.3955
1791,1791,0.11912790823203068,0.396
1799,1799,0.11912790823203068,0.3965
1809,1809,0.11912790823203068,0.397
1911,1911,0.11912790823203068,0.3975
1919,1919,0.11912790823203068,0.398
1940,1940,0.11912790823203068,0.3985
471,471,0.11913879889868895,0.399
1337,1337,0.11917123623197767,0.3995
1353,1353,0.11917123623197767,0.4
1704,1704,0.11917123623197767,0.4005
1811,1811,0.11917123623197767,0.401
1931,1931,0.11917123623197767,0.4015
1944,1944,0.11917123623197767,0.402
522,522,0.11917123623203452,0.4025
632,632,0.11917123623203452,0.403
763,763,0.11917123623203452,0.4035
874,874,0.11917123623203452,0.404
1002,1002,0.11917123623203452,0.4045
1120,1120,0.11917123623203452,0.405
1122,1122,0.11917123623203452,0.4055
1124,1124,0.11917123623203452,0.406
1126,1126,0.11917123623203452,0.4065
1128,1128,0.11917123623203452,0.407
592,592,0.11920950823201792,0.4075
1432,1432,0.11922136956536633,0.408
1902,1902,0.11922136956536633,0.4085
1951,1951,0.11922514312720978,0.409
1531,1531,0.11923480956545518,0.4095
505,505,0.1192437482320372,0.41
515,515,0.1192437482320372,0.4105
524,524,0.1192437482320372,0.411
756,756,0.11924374823206563,0.4115
765,765,0.11924374823206563,0.412
767,767,0.11924374823206563,0.4125
854,854,0.11924374823206563,0.413
876,876,0.11924374823206563,0.4135
971,971,0.11924374823206563,0.414
1091,1091,0.11924374823206563,0.4145
1099,1099,0.11924374823206563,0.415
1104,1104,0.11924374823206563,0.4155
1111,1111,0.11924374823206563,0.416
1344,1344,0.11924374823206563,0.4165
1355,1355,0.11924374823206563,0.417
1357,1357,0.11924374823206563,0.4175
1451,1451,0.11924374823206563,0.418
1690,1690,0.11924374823206563,0.4185
1706,1706,0.11924374823206563,0.419
1806,1806,0.11924374823206563,0.4195
1921,1921,0.11924374823206563,0.42
1926,1926,0.11924374823206563,0.4205
1933,1933,0.11924374823206563,0.421
658,658,0.11927253634632962,0.4215
730,730,0.1192731882320004,0.422
1316,1316,0.11928396156531562,0.4225
237,237,0.11929338881624574,0.423
238,238,0.11929338881624574,0.4235
239,239,0.11929338881624574,0.424
1459,1459,0.11930557223195137,0.4245
759,759,0.11930557223206506,0.425
870,870,0.11930557223206506,0.4255
987,987,0.11930557223206506,0.426
