,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
1449,1449,0.00017264914236526184,0.159
1919,1919,0.00017264914236526184,0.1595
510,510,0.00017296710178558,0.16
619,619,0.0001735208972591058,0.1605
1099,1099,0.00017357168592731532,0.161
974,974,0.0001737055549229375,0.1615
65,65,0.00017374603979752878,0.162
1332,1332,0.00017398190704374212,0.1625
1687,1687,0.0001742364092518954,0.163
1555,1555,0.00017428435364763573,0.1635
1688,1688,0.0001746743522463793,0.164
746,746,0.0001747398246442902,0.1645
1556,1556,0.0001749509017351659,0.165
620,620,0.0001752022144113201,0.1655
370,370,0.0001757470499373439,0.166
1451,1451,0.00017587573485555402,0.1665
1921,1921,0.00017587573485555402,0.167
1796,1796,0.0001760721085035214,0.1675
747,747,0.00017622797670911633,0.168
511,511,0.0001770123742315183,0.1685
1660,1660,0.00017724836847144416,0.169
1334,1334,0.00017741004782199265,0.1695
859,859,0.000177410047822077,0.17
976,976,0.000177410047822077,0.1705
32,32,0.0001778523207656927,0.171
1101,1101,0.00017785556315335442,0.1715
1894,1894,0.00017788784972781784,0.172
70,70,0.00017792354726054935,0.1725
1690,1690,0.0001779757436299487,0.173
860,860,0.00017805504825159466,0.1735
977,977,0.00017805504825159466,0.174
1102,1102,0.00017806862217044944,0.1745
487,487,0.000178407140629287,0.175
265,265,0.00017851118558742982,0.1755
1558,1558,0.00017852874064855687,0.176
1335,1335,0.0001787124853771939,0.1765
69,69,0.00017876703324990958,0.177
1421,1421,0.00017889947263658067,0.1775
749,749,0.00017899987403318374,0.178
1205,1205,0.00017940978388456382,0.1785
33,33,0.00017997959159902523,0.179
1453,1453,0.0001799919663142703,0.1795
1798,1798,0.0001799919663142703,0.18
1922,1922,0.0001802210577522884,0.1805
1799,1799,0.00018022376434497834,0.181
1559,1559,0.0001802805394667619,0.1815
1206,1206,0.00018080461080233846,0.182
622,622,0.00018090715343801312,0.1825
73,73,0.00018105085038554874,0.183
72,72,0.00018116540780348245,0.1835
1923,1923,0.00018147288585033624,0.184
1104,1104,0.00018149733368655346,0.1845
1337,1337,0.00018166346986581963,0.185
74,74,0.00018175885038555079,0.1855
979,979,0.0001819769658008956,0.186
1692,1692,0.000182180318488304,0.1865
1072,1072,0.00018228526473151502,0.187
1777,1777,0.00018235171746561175,0.1875
75,75,0.00018296185038555596,0.188
751,751,0.00018300271398479702,0.1885
266,266,0.0001834026004924103,0.189
1924,1924,0.00018341281391672342,0.1895
373,373,0.00018354113035185259,0.19
1454,1454,0.00018355609897077147,0.1905
1561,1561,0.0001838091879350929,0.191
1801,1801,0.00018389414519567543,0.1915
752,752,0.00018411472258035767,0.192
1208,1208,0.00018415748995846335,0.1925
76,76,0.00018433085038555702,0.193
77,77,0.00018474833848079047,0.1935
259,259,0.00018505400391015088,0.194
862,862,0.00018508044893858526,0.1945
624,624,0.0001851287134301553,0.195
1693,1693,0.00018526600036138379,0.1955
981,981,0.00018538662361562776,0.196
1106,1106,0.00018538662361562776,0.1965
513,513,0.0001854126421059794,0.197
1802,1802,0.0001855464078258397,0.1975
1339,1339,0.00018556020532930505,0.198
78,78,0.00018612333848079532,0.1985
